,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long
4,4,4,303,303,University of Arkansas at Pine Bluff,UAPB - University of Arkansas at Pine Bluff,1200 N UNIVERSITY MAIL SLOT 4967,PINE BLUFF,AR,716014967,1,"Public, 4-year or above",1172,1649,2821,0,1,1,0,"University of Arkansas at Pine Bluff, PINE BLUFF, AR",,,
5,5,5,446,446,California Institute of Technology,Main Campus,"1200 E CALIFORNIA BLVD, MC 200-63",PASADENA,CA,91125,2,"Private nonprofit, 4-year or above",1479,761,2240,11,2,2,5,"California Institute of Technology, PASADENA, CA",,,
6,6,8,490,490,University of California-San Diego,Main Campus,9500 Gilman Dr Mail Code 0005,La Jolla,CA,920930005,1,"Public, 4-year or above",18807,16172,34979,10,6,3,8,"University of California-San Diego, La Jolla, CA",,,
12,14,21,3983,3983,Missouri University of Science and Technology,Missouri S&T,"300 W. 13th Street, 206 Parker Hall",ROLLA,MO,654091060,1,"Public, 4-year or above",6829,2006,8835,4,2,0,2,"Missouri University of Science and Technology, ROLLA, MO",,,
21,24,36,6447,6447,South Dakota State University,Main Campus,"Box 2201, ADM 324",Brookings,SD,570071998,1,"Public, 4-year or above",5904,6696,12600,7,4,0,1,"South Dakota State University, Brookings, SD",,,
28,31,54,7615,7615,Alverno College,Alverno College,3400 S 43RD  ST,Milwaukee,WI,532343922,2,"Private nonprofit, 4-year or above",57,1960,2017,0,0,0,2,"Alverno College, Milwaukee, WI",,,
32,36,64,7846,7846,Instituto de Banca y Comercio Inc,Barranquitas,"Carretera 719 Km. 1.5 Bo. Helechal, Centro Comercial Plaza",Barranquitas,PR,794,6,"Private for-profit, 2-year",5165,6115,11280,0,0,1,0,"Instituto de Banca y Comercio Inc, Barranquitas, PR",,,
33,37,65,7855,7855,Instituto Tecnologico de Puerto Rico-Recinto de Ponce,Instituto Tecnologico de P.R.-Recinto de Ponce,CANDIDO HOYOS 4820 URB. PERLA DEL SUR,PONCE,PR,717,4,"Public, 2-year",472,221,693,0,0,2,0,"Instituto Tecnologico de Puerto Rico-Recinto de Ponce, PONCE, PR",,,
37,44,81,9169,9169,Everest College-Chesapeake,Altierus Career College Chesapeake,825 Greenbrier Circle #100,Chesapeake,VA,233202639,5,"Private nonprofit, 2-year",78,147,225,0,0,0,1,"Everest College-Chesapeake, Chesapeake, VA",,,
38,46,84,9872,9872,Escuela De Troqueleria Y Herramentaje,Main campus,150 Rd 174 Urb Industrial Minillas,Bayamon,PR,959,4,"Public, 2-year",86,2,88,0,0,1,0,"Escuela De Troqueleria Y Herramentaje, Bayamon, PR",,,
41,51,89,10727,10727,Augusta University,AU Summerville Campus - Augusta,2500 WALTON WAY,AUGUSTA,GA,309042200,1,"Public, 4-year or above",2907,5031,7938,1,0,1,0,"Augusta University, AUGUSTA, GA",,,
