,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address
1255,Georgetown University,"Education City, Doha, Qatar","P.O Box  23689  -  Doha, Qatar",Doha,,20057,2,"Private nonprofit, 4-year or above",8518.0,10007.0,18525.0,0,1,0,0,
1449,Keiser University-Ft Lauderdale,Keiser University-San Marcos Nicaragua,"De Texaco 2C, SUR",San Marcos,,,2,"Private nonprofit, 4-year or above",6119.0,13569.0,19688.0,1,0,1,0,
1712,Georgia Institute of Technology-Main Campus,Georgia Tech Lorraine,2 Rue Marconi,Metz,,57070,1,"Public, 4-year or above",18556.0,8283.0,26839.0,0,1,0,0,
2093,Northwestern University,"Education City, Qatar","Northwestern University in Qatar, P.O. Box 34102",Doha,,,2,"Private nonprofit, 4-year or above",11336.0,10487.0,21823.0,0,2,0,1,
2945,University of New England,University of New England Tangier Morocco,Rue Abi Chouaib Doukkali,Tangier,,90000,2,"Private nonprofit, 4-year or above",2248.0,6015.0,8263.0,0,1,0,0,
3079,Hult International Business School,London Undergraduate Campus,33-35 Commercial Road,London,,E1 1LD,2,"Private nonprofit, 4-year or above",1614.0,1229.0,2843.0,0,0,1,0,
3106,Berklee College of Music,Valencia Campus,"Palau de les Arts Reina Sofia - Anexo Sur, Av Profesor Lopez Pineiro, 1",Valencia,,46013,2,"Private nonprofit, 4-year or above",3980.0,2425.0,6405.0,0,0,3,0,
4638,Weill Cornell Medical College,Qatar Campus,"PO Box 24144, Education City, Al Luqta Street",Doha,,00,2,"Private nonprofit, 4-year or above",515.0,555.0,1070.0,0,2,0,1,
4822,New York University,NYU in Abu Dhabi,P.O. Box 129188,Abu Dhabi,,,2,"Private nonprofit, 4-year or above",22152.0,28398.0,50550.0,1,1,0,0,
5618,Franciscan University of Steubenville,"Franciscan University - Gaming Campus, Austria","Kartause 1, A-3292 Gaming, NO, Austria, Europe",Gaming,,A-3292,2,"Private nonprofit, 4-year or above",1124.0,1635.0,2759.0,1,0,0,0,
5950,Carnegie Mellon University,Qatar,Education City,Doha,,,2,"Private nonprofit, 4-year or above",7887.0,5371.0,13258.0,0,0,0,1,
6013,Franklin and Marshall College,Bath England Campus,"Advanced Studies in England, Nelson House, 2 Pierrepont Street",Bath,,BA1 1LB,2,"Private nonprofit, 4-year or above",1062.0,1193.0,2255.0,1,0,0,0,
